종목명,연도,수익률,종합등급,환경,사회,지배구조,KOSPI,ROA,ROE
CJ,2020,-19.706242831030064,A,B,A,A,2220.068017282794,0.5097013767490017,1.3250506780441649
CJ,2021,19.605549710035007,A,B+,A+,A,3111.2176543205014,1.9233524137283515,4.901510504212935
CJ대한통운,2011,45.79284613743712,B+,B,B+,B,1984.5420603887271,2.7482401548893787,4.36278727814672
CJ대한통운,2012,-5.535854749900071,B,B,B+,B,1930.3727023216986,2.2072302776836907,3.4790450647891893
CJ대한통운,2013,13.023995713109016,B+,B+,A,B+,1960.4997163224316,-1.3032053279294165,-2.671510301965241
CJ대한통운,2014,41.1006379195749,B+,B+,A,B+,1982.1581239038585,1.3086863920583296,2.6067772919799834
CJ대한통운,2015,32.67919138292248,B+,B+,B+,B+,2011.8487494684034,1.0884151424531892,2.0653497402648537
CJ대한통운,2016,8.276196043461436,A,B+,A,A,1987.0032527272294,1.130753495155425,2.2953828955703326
CJ대한통운,2017,-17.28197822224793,B+,B+,B+,A,2310.368424918147,0.8618961658685611,1.9631564122208365
CJ대한통운,2018,-10.166269518679316,B+,B+,B+,A,2325.0094329333697,0.8464066063786799,2.1272962607774653
CJ대한통운,2019,3.2233427927715885,B+,A,B+,B+,2106.053582416317,0.5586143272917304,1.3922418721582157
CJ대한통운,2020,-1.2194451905936377,A,A,B+,A,2220.068017282794,1.4789573983197932,3.5303287048868106
CJ대한통운,2021,6.910968688973651,A,A,A+,A,3111.2176543205014,1.759850503110694,3.9408762528533288
CJ씨푸드,2011,20.908199528190075,E,C,E,E,1984.5420603887271,6.5719211763243175,15.999336375229204
CJ씨푸드,2012,-4.690788038314553,B,C,B,B,1930.3727023216986,4.840266887517672,10.422438346343098
