year,수익률,종목명
2015,56.43872910414507,MH에탄올
2016,-22.093575323646075,MH에탄올
2017,-5.292473057808589,MH에탄올
2018,-20.067755550351805,MH에탄올
2019,5.951752520256881,MH에탄올
2020,28.066382344478402,MH에탄올
2021,27.998301528624236,MH에탄올
2022,-8.19122216121546,MH에탄올
2010,,NAVER
2011,9.129263149691646,NAVER
2012,19.668736914326935,NAVER
2013,41.453556680023325,NAVER
2014,77.17601486106815,NAVER
2015,-18.960702910888237,NAVER
2016,17.592308723908733,NAVER
2017,11.93153468937702,NAVER
2018,-9.983055693344745,NAVER
2019,-5.582203446160139,NAVER
2020,78.10068907626786,NAVER
2021,58.1524453651467,NAVER
2022,-15.721605333551326,NAVER
2010,,NH투자증권
2011,-6.32370394706101,NH투자증권
2012,-26.311407003496768,NH투자증권
2013,-1.9136299964814696,NH투자증권
2014,-11.801300619616717,NH투자증권
2015,15.02122948774769,NH투자증권
2016,-15.78109611562657,NH투자증권
2017,35.78420217507081,NH투자증권
2018,6.926334423772951,NH투자증권
2019,-7.290181561734299,NH투자증권
2020,-25.054817560927056,NH투자증권
2021,27.062652363704686,NH투자증권
2022,-7.148940272845605,NH투자증권
2010,,NICE
2011,-16.02571543015302,NICE
2012,-8.438397028198342,NICE
2013,91.21068441155246,NICE
2014,42.15621901313362,NICE
2015,50.39742338455604,NICE
2016,-8.939862815579524,NICE
2017,-13.381164229560682,NICE
2018,2.871043370192239,NICE
2019,15.41748438851156,NICE
2020,-1.0412767464211714,NICE
2021,-9.988743649288612,NICE
2022,-5.233707628429352,NICE
2010,,NI스틸
2011,-15.994440725913062,NI스틸
2012,-19.318810025767164,NI스틸
2013,2.128276611309654,NI스틸
2014,43.63722238338734,NI스틸
2015,-0.6144945850106609,NI스틸
2016,12.543306595993187,NI스틸
2017,35.52637317396075,NI스틸
2018,-23.3486033553022,NI스틸
2019,-15.996407749788332,NI스틸
2020,-16.547094906729665,NI스틸
2021,103.00998143666598,NI스틸
2022,2.219441575467629,NI스틸
2010,,OCI
2011,37.44391737518442,OCI
2012,-42.22198528627785,OCI
2013,-20.297103966137563,OCI
2014,-7.123705450466778,OCI
2015,-40.854870441324366,OCI
2016,-1.1774412823270297,OCI
2017,7.14971021139621,OCI
2018,32.10182774360162,OCI
2019,-34.70244327034253,OCI
2020,-34.41159953937362,OCI
2021,121.22094099698582,OCI
2022,-16.72524643558493,OCI
2010,,S-Oil
2011,101.33721214110815,S-Oil
2012,-15.453456370406348,S-Oil
2013,-20.911400497268605,S-Oil
2014,-34.43103358464226,S-Oil
2015,20.087476879601795,S-Oil
2016,24.67815149952466,S-Oil
2017,29.655213166905426,S-Oil
2018,9.676595213797068,S-Oil
2019,-19.255748971687403,S-Oil
2020,-29.58508132619747,S-Oil
2021,38.72996699549163,S-Oil
2022,-2.25153476562181,S-Oil
2010,,SBS
2011,-8.45731127823729,SBS
2012,12.789662994573337,SBS
2013,20.4091841778663,SBS
2014,-27.11480233571657,SBS
2015,13.607437420250236,SBS
2016,-23.634265463533755,SBS
2017,-6.344306707066661,SBS
2018,-12.858556447536284,SBS
2019,-8.235740366691102,SBS
2020,-12.812255821160178,SBS
2021,124.38424746323365,SBS
2022,7.666810311233374,SBS
2010,,SG세계물산
2011,14.330576052192544,SG세계물산
2012,41.629031704835185,SG세계물산
2013,68.22330536979709,SG세계물산
2014,-24.922699569413066,SG세계물산
2015,46.02491074055792,SG세계물산
2016,26.877969030371496,SG세계물산
2017,-4.5889934122569365,SG세계물산
2018,-26.05535646206635,SG세계물산
2019,12.171515621716855,SG세계물산
2020,-27.514368681781455,SG세계물산
