,종목명,연도,누적수익률,종합등급,환경,사회,지배구조,코스피누적수익률,ROA,ROE,tobinQ
5271,코스모신소재,2018,413.0340680402502,4.0,4.0,3.0,4.0,17.010851881707566,4.4014264315704414,11.832674381158837,4.31780668595403
5272,코스모신소재,2019,37.65187926019653,4.0,4.0,3.0,4.0,-8.843387933206737,-0.6799203034143328,-1.19163130234228,1.68705999426852
5273,코스모신소재,2020,-28.499445770302145,4.0,4.0,3.0,4.0,-4.513590962862269,3.2392133031689627,6.638101757567115,2.147711377278088
5274,코스모신소재,2021,191.5723893201037,3.0,3.0,2.0,3.0,47.72737409420227,5.164815791635607,8.760581481202712,5.070042382660481
5275,코스모화학,2011,103.48090843102248,3.0,3.0,3.0,3.0,np.NAN,,,inf
5276,코스모화학,2012,87.40352215720146,3.0,3.0,3.0,4.0,-2.7295646259277606,,,inf
5277,코스모화학,2013,-38.80104631876255,3.0,3.0,3.0,4.0,-1.211480701073464,-0.7559644123538348,-1.8976153877018047,0.3614435971879559
5278,코스모화학,2014,-49.70466999292278,3.0,3.0,3.0,4.0,2.682664416041347,-6.975640936582598,-20.60818880080801,0.2988247181644287
5279,코스모화학,2015,-37.46339416791916,3.0,2.0,3.0,4.0,2.619180850599334,-19.33242412135844,-78.93351072169362,0.4532241981618508
5280,코스모화학,2016,-27.63099860665669,3.0,3.0,3.0,4.0,0.2444370489387726,-15.165856989497026,-68.74505011953136,0.5709429477835255
5281,코스모화학,2017,83.80860979351282,3.0,3.0,3.0,4.0,14.838077441389274,6.010264427772324,17.26345294978145,1.2096188470751683
5282,코스모화학,2018,363.09823418145095,3.0,3.0,3.0,4.0,17.010851881707566,-1.7929764488570092,-5.4404558165235,1.9402690873384156
5283,코스모화학,2019,7.277982610352884,2.0,3.0,2.0,2.0,-8.843387933206737,-2.813441478498878,-6.290437091685466,0.7163299806692869
5284,코스모화학,2020,-53.05028904044726,2.0,3.0,2.0,1.0,-4.513590962862269,-2.33662423994169,-6.248213200014954,0.9502727487248106
5285,코스모화학,2021,51.65647984536847,3.0,3.0,2.0,3.0,47.72737409420227,3.4495278082216454,7.761945965646602,1.2864126856392333
5286,코아스,2011,-8.844158555782666,3.0,2.0,3.0,3.0,np.NAN,0.9044134011506038,2.4285506286804805,0.3850539758105117
5287,코아스,2012,-0.5603080300029983,3.0,2.0,3.0,3.0,-2.7295646259277606,1.1653738585168214,2.854086333806526,0.6595193116533841
5288,코아스,2013,-1.6110898170225374,3.0,3.0,3.0,3.0,-1.211480701073464,-8.197245692216208,-21.331552863590662,0.7843499453039815
5289,코아스,2014,8.400892450731634,3.0,3.0,3.0,3.0,2.682664416041347,0.5839071422427854,1.4501348938001517,0.9937635135880089
5290,코아스,2015,113.5815095751138,3.0,3.0,3.0,3.0,2.619180850599334,-12.15415773778098,-35.29596516626625,2.325031848320501
5291,코아스,2016,28.50792158018696,3.0,3.0,3.0,3.0,0.2444370489387726,-10.020118306425372,-31.28841555890317,2.227844738817526
5292,코아스,2017,-43.62452864546758,3.0,2.0,3.0,3.0,14.838077441389274,-0.704370746697978,-2.3535760364147484,1.743374019894341
5293,코아스,2018,-12.32070014864577,3.0,3.0,3.0,3.0,17.010851881707566,-0.1584295816325223,-0.5306660676427993,2.181619612693422
5294,코아스,2019,2.7846848948086755,3.0,3.0,2.0,3.0,-8.843387933206737,2.742586675052178,8.374385306432783,1.760974036227488
5295,코아스,2020,-30.11469717868598,4.0,3.0,3.0,4.0,-4.513590962862269,-2.3799950518365445,-7.266394972427992,1.3225645924031102
5296,코아스,2021,-11.698514153050189,3.0,2.0,2.0,4.0,47.72737409420227,-6.640357189421209,-27.656185847113424,2.105234993178005
5297,코오롱,2011,-33.9503509346371,3.0,3.0,3.0,3.0,np.NAN,1.896456721546231,7.261575843406779,0.2914777001083726
5298,코오롱,2012,-47.69578329513418,3.0,3.0,4.0,3.0,-2.7295646259277606,2.3001804215768327,9.316993958926435,0.2794653468960807
5299,코오롱,2013,-26.64194705869033,3.0,3.0,3.0,3.0,-1.211480701073464,-2.247745881709506,-10.256278587082257,0.2997071395051626
5300,코오롱,2014,2.728040688156508,3.0,3.0,3.0,3.0,2.682664416041347,0.5743993191323978,2.232273654635899,0.2888589535488581
5301,코오롱,2015,188.69749140587265,3.0,3.0,3.0,3.0,2.619180850599334,-2.301759402576917,-9.406587242696062,0.9715009206070164
5302,코오롱,2016,168.71157694481687,3.0,2.0,3.0,3.0,0.2444370489387726,0.8238745990507678,3.307064102540619,0.8573420920004665
5303,코오롱,2017,12.45307205791617,3.0,3.0,4.0,3.0,14.838077441389274,2.6711066756798663,10.911035247050672,0.8820268263174202
5304,코오롱,2018,-26.186620443382942,3.0,3.0,3.0,3.0,17.010851881707566,-0.1301861045423769,-0.5454068427974103,0.6099637771640066
5305,코오롱,2019,-66.19379866884802,2.0,2.0,3.0,2.0,-8.843387933206737,-0.6140796524033717,-3.078102170817184,0.3820338121055681
5306,코오롱,2020,-58.31094441256941,3.0,2.0,4.0,3.0,-4.513590962862269,4.493037388179572,19.394777285529468,0.2703441159170379
5307,코오롱,2021,36.27655231405278,3.0,3.0,4.0,3.0,47.72737409420227,4.296081912135056,16.206710670411333,0.3844646803468455
5308,코오롱글로벌,2011,-3.5077871977229336,3.0,3.0,3.0,3.0,np.NAN,-2.12227975411966,-12.38197524252203,0.2462545776344599
5309,코오롱글로벌,2012,-0.0435076768239617,3.0,3.0,3.0,3.0,-2.7295646259277606,0.4963983698166754,3.0806476778524905,0.8539350150815409
5310,코오롱글로벌,2013,-11.804668874410496,3.0,4.0,3.0,3.0,-1.211480701073464,-3.1142837495109235,-19.313323082397268,0.829273481500942
5311,코오롱글로벌,2014,-53.7361871231922,3.0,3.0,3.0,3.0,2.682664416041347,0.9633308201141644,4.235794966385471,0.3114977242207586
5312,코오롱글로벌,2015,-16.10862666519104,3.0,3.0,3.0,3.0,2.619180850599334,-1.2840703005168896,-5.808792871385736,0.6315031863534386
5313,코오롱글로벌,2016,31.29463321346062,4.0,4.0,4.0,3.0,0.2444370489387726,0.2945394918117653,1.4069572678200293,0.5103962313866661
5314,코오롱글로벌,2017,-26.675174085538767,3.0,4.0,3.0,3.0,14.838077441389274,0.6737135375099267,3.2763321342248823,0.5176582061577027
5315,코오롱글로벌,2018,-35.88468990323926,3.0,4.0,3.0,3.0,17.010851881707566,0.7106862839168017,3.234865574714959,0.5040657300104915
5316,코오롱글로벌,2019,-23.0494919483376,3.0,2.0,3.0,4.0,-8.843387933206737,1.5230615502850609,7.382009410172752,0.5508844792982548
5317,코오롱글로벌,2020,38.43022485234107,3.0,2.0,3.0,4.0,-4.513590962862269,3.258949970173388,16.55189851370561,0.7046978608980871
5318,코오롱글로벌,2021,149.0143972909115,3.0,2.0,3.0,4.0,47.72737409420227,5.317312957327742,22.32899034811592,0.993501547418745
5319,코오롱인더,2011,49.56186380176499,,,,,np.NAN,6.205722832504888,16.615750086357046,1.041332286173803
5320,코오롱인더,2012,17.226312313736038,3.0,4.0,3.0,3.0,-2.7295646259277606,7.315209211121032,17.984031717584628,0.8816768784187619
5321,코오롱인더,2013,-35.0064053765054,4.0,4.0,3.0,4.0,-1.211480701073464,2.40836649419172,5.8425742475626885,0.6865975315818013
5322,코오롱인더,2014,-10.680180253297332,4.0,4.0,3.0,4.0,2.682664416041347,0.8346755473558297,1.9730432236636195,0.7015488612584388
5323,코오롱인더,2015,8.43684712196453,4.0,3.0,4.0,4.0,2.619180850599334,-2.9106443271594893,-7.387911375230151,0.7746504455798767
5324,코오롱인더,2016,25.360963038095008,3.0,3.0,3.0,4.0,0.2444370489387726,3.352281580560056,8.279685168282516,0.8853317223257217
5325,코오롱인더,2017,23.33931380543699,3.0,2.0,4.0,4.0,14.838077441389274,2.1677308913003945,5.284761470289396,0.8129331154722472
5326,코오롱인더,2018,-10.973647201087822,4.0,3.0,4.0,4.0,17.010851881707566,0.7702527468098489,1.9436016885810483,0.7613762719958901
5327,코오롱인더,2019,-34.72571138443943,4.0,4.0,4.0,4.0,-8.843387933206737,0.4179364885788418,1.040371975658687,0.5902594423948184
5328,코오롱인더,2020,-44.91726608492508,4.0,4.0,4.0,4.0,-4.513590962862269,4.074641088344728,8.966327851421644,0.3986969446994231
5329,코오롱인더,2021,49.13952366285693,5.0,4.0,5.0,5.0,47.72737409420227,3.638891553227942,7.991351495940875,0.8139567314969066
5330,코오롱플라스틱,2011,np.NAN,,,,,np.NAN,4.780508263068977,10.711803746917548,2.1637089184927256
5331,코오롱플라스틱,2012,1.6437063258235796,3.0,3.0,3.0,3.0,-2.7295646259277606,5.537975497570398,12.362999443267402,2.0286530512466645
5332,코오롱플라스틱,2013,-23.088828957232977,4.0,4.0,4.0,4.0,-1.211480701073464,-1.4342630119607136,-3.557302729635556,1.5500709817169769
5333,코오롱플라스틱,2014,-29.747414041169627,4.0,4.0,4.0,4.0,2.682664416041347,0.8555714264566358,2.0248097642422573,1.4762199647584762
5334,코오롱플라스틱,2015,37.360579375000434,4.0,4.0,4.0,4.0,2.619180850599334,4.309146121749554,9.218519585496852,2.0227919996988213
5335,코오롱플라스틱,2016,71.92592287045221,4.0,3.0,3.0,5.0,0.2444370489387726,5.734662213859449,10.113012847471468,1.4523948845261212
5336,코오롱플라스틱,2017,3.8996462153411127,4.0,4.0,4.0,4.0,14.838077441389274,4.951882372600226,9.007124991650507,1.3760926737424986
5337,코오롱플라스틱,2018,-6.07693603929177,3.0,3.0,3.0,4.0,17.010851881707566,3.597426103957784,6.215582045216912,1.3282321087988571
5338,코오롱플라스틱,2019,-20.137478334301527,4.0,4.0,4.0,4.0,-8.843387933206737,1.5911555701346096,2.726762497500788,1.025154080739073
5339,코오롱플라스틱,2020,-44.6725078902324,4.0,3.0,4.0,4.0,-4.513590962862269,0.93415191496478,1.4979963333680852,0.7228485262215634
5340,코오롱플라스틱,2021,68.87517752703445,4.0,3.0,4.0,4.0,47.72737409420227,5.894673107387399,9.86485247900578,1.831456135114777
5341,코웨이,2011,-4.7609824975388015,5.0,4.0,5.0,5.0,np.NAN,,,inf
5342,코웨이,2012,-4.620113933256375,4.0,3.0,5.0,5.0,-2.7295646259277606,,,inf
5343,코웨이,2013,48.90106145475281,4.0,3.0,5.0,5.0,-1.211480701073464,14.693969489595135,26.04715113744664,4.622942679275965
5344,코웨이,2014,116.89851210441545,4.0,3.0,5.0,5.0,2.682664416041347,15.395954576580587,24.019626535671616,6.074957677345974
5345,코웨이,2015,60.69937502457587,4.0,3.0,5.0,5.0,2.619180850599334,19.326401770641223,27.71060189825492,5.4084645309581445
5346,코웨이,2016,16.574031846147186,5.0,3.0,6.0,5.0,0.2444370489387726,12.365210960924696,20.561331426102253,6.287276724178157
5347,코웨이,2017,9.489854542151166,4.0,3.0,6.0,5.0,14.838077441389274,15.082285884933494,33.14891774638073,7.5531082307816835
5348,코웨이,2018,-7.600307130407091,4.0,3.0,6.0,6.0,17.010851881707566,14.70473902372964,32.160711370439174,5.856189574303524
5349,코웨이,2019,-12.156375559201535,5.0,6.0,5.0,4.0,-8.843387933206737,11.636179922993325,30.84005182584504,5.976024756394076
5350,코웨이,2020,-15.207627609561449,5.0,5.0,6.0,4.0,-4.513590962862269,13.361101911835396,27.161640580710262,3.473998090738133
